YEAR,PUDUCHERRY
2016,5276.150011279045
2017,5266.505752312205
2018,5256.861493345365
2019,5247.217234378524
2020,5237.572975411687
2021,5227.928716444847
2022,5218.2844574780065
2023,5208.640198511166
2024,5198.995939544329
2025,5189.351680577489
2026,5179.707421610648
2027,5170.063162643808
2028,5160.418903676968
2029,5150.774644710131
2030,5141.13038574329
