YEAR,ANDAMAN AND NICOBAR
2016,5379.22202797205
2017,5463.734265734267
2018,5548.2465034965135
2019,5632.75874125876
2020,5717.270979020977
2021,5801.783216783224
2022,5886.29545454547
2023,5970.807692307717
2024,6055.319930069934
2025,6139.832167832181
2026,6224.344405594427
2027,6308.856643356645
2028,6393.368881118891
2029,6477.881118881138
2030,6562.393356643355
