YEAR,DELHI
2016,108811.89767087717
2017,111500.06214752886
2018,114188.2266241815
2019,116876.39110083412
2020,119564.55557748675
2021,122252.72005413845
2022,124940.88453079108
2023,127629.04900744371
2024,130317.21348409541
2025,133005.37796074804
2026,135693.54243740067
2027,138381.7069140533
2028,141069.871390705
2029,143758.03586735763
2030,146446.20034401026
