YEAR,LAKSHADWEEP
2016,88.21489397699133
2017,90.34592826528296
2018,92.4769625535755
2019,94.60799684186804
2020,96.73903113016058
2021,98.87006541845312
2022,101.00109970674475
2023,103.1321339950373
2024,105.26316828332983
2025,107.39420257162237
2026,109.52523685991491
2027,111.65627114820654
2028,113.78730543649908
2029,115.91833972479162
2030,118.04937401308416
