YEAR,J AND K
2016,24274.75981276785
2017,24555.004511617357
2018,24835.249210466864
2019,25115.49390931637
2020,25395.738608165993
2021,25675.9833070155
2022,25956.228005865007
2023,26236.472704714513
2024,26516.717403564136
2025,26796.962102413643
2026,27077.20680126315
2027,27357.451500112657
2028,27637.69619896228
2029,27917.940897811786
2030,28198.185596661293
