YEAR,DAMAN AND DIU
2016,269.58526956914034
2017,270.4874802616737
2018,271.3896909542068
2019,272.29190164674014
2020,273.1941123392735
2021,274.09632303180683
2022,274.99853372433995
2023,275.9007444168733
2024,276.80295510940664
2025,277.70516580193976
2026,278.6073764944731
2027,279.50958718700645
2028,280.41179787953956
2029,281.3140085720729
2030,282.21621926460625
