YEAR,CHANDIGARH
2016,5401.556930972263
2017,5538.284795849351
2018,5675.012660726381
2019,5811.740525603469
2020,5948.468390480499
2021,6085.196255357587
2022,6221.924120234617
2023,6358.651985111705
2024,6495.379849988734
2025,6632.107714865822
2026,6768.835579742852
2027,6905.56344461994
2028,7042.29130949697
2029,7179.019174374058
2030,7315.747039251088
