YEAR,ANDAMAN AND NICOBAR,PUDUCHERRY,DAMAN AND DIU,CHANDIGARH,DELHI,J AND K,LAKSHADWEEP
2016,2491,4885,287,4256,216920,26624,50
2017,3014,4799,382,5462,244714,25608,114
2018,2699,4674,334,5967,262612,27276,77
2019,4034,4004,370,4518,316261,25408,182
