UT,MAE,MSE,RMSE
Andaman and Nicobar,2446.4903846153975,6254314.901503498,2500.862831405093
Puducherry,671.1836228287848,564219.1430122931,751.1452209874553
Daman and Diu,72.31141439205976,6551.30954424754,80.94016026823482
Chandigarh,701.8923979246756,769285.3015152989,877.0891069414207
Delhi,147282.6056141446,22804288449.08895,151010.8885116863
Jammu and Kashmir,1533.8731389578888,3167638.296388597,1779.7860254504183
Lakshadweep,41.18448285585396,2474.197954294888,49.74131033954461
